Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Development),Custom field (Rank),Sprint,Custom field (Story point estimate),Parent,Parent summary,Status Category
validate that dropdown data of top menu options are visible and accessible to user.(home page),AP-149,10158,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,7/11/2022 8:19,7/11/2022 9:23,7/11/2022 11:08,7/11/2022 8:19,,0,"Validate that dropdown data of top menu options are visible and accessible to user.

Acceptance Criteria:

# Open URL [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 
# Click on to menu options : paint & texture, wallpaper etc.
#  Top menu options should be clickable.",,Muskan Mourya,62c26a539763a5e6026ee146,,,,,,,,,AP-43,AP-150,AP-151,,,0|i000xb:,AP Sprint 1,15,10052,Home page.,Done
"User should allow to access ""Find a contractor"" icon.",AP-141,10150,Story,In Progress,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,,Pooja singh,62c26a0da7de1e7c7c2cd1a1,Pooja singh,62c26a0da7de1e7c7c2cd1a1,Pooja singh,62c26a0da7de1e7c7c2cd1a1,7/11/2022 4:53,7/11/2022 8:10,7/11/2022 9:07,,,0,"User should allow to access ""Find a contractor"" icon.

Acceptance criteria:

1.Open browser.

2.Launch URL: [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

3.Assian paint website should be open.

4. “Find a contractor” icon should be there on the website page.",,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,,,,,,,,,AP-148,,,,0|i00022:n,AP Sprint 1,15,,,In Progress
Allow the user to purchase the color selection tool.,AP-132,10141,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,7/9/2022 9:47,7/11/2022 9:25,7/11/2022 11:08,7/9/2022 12:02,,0,"Allow the user to purchase the color selection tool

# Go to the website [https://www.asianpaints.com/content/ap/en/home.html.|https://www.asianpaints.com/content/ap/en/home.html.]                             
# click on shop page.                             
# click on color selection tool.                                  
# select the color select tool.
# click on Buy now.
# click on payment process.
# user can purchase a color selection tool.",,Sukanya Pucheti,62c26a102c528400c9b558f1,,,,,,,,,,AP-133,AP-134,AP-135,,0|i000tb:,AP Sprint 1,16,10055,Shop,Done
Validate Page title ,AP-127,10136,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,7/7/2022 5:45,7/11/2022 9:24,7/11/2022 9:24,7/11/2022 6:28,,0,"validate Page Title on the website

Acceptance criteria:

# user should able to view Page title “Asian Paints”
#  Page title “Asian Paints” should appear in top left corner page
# page title “Asian Paints” should appear on every page of website
# page title “Asian Paints” should be spell correct ",,Muskan Mourya,62c26a539763a5e6026ee146,,,,,,,,,,AP-128,AP-129,AP-130,,0|i0001z:1,AP Sprint 1,14,10052,Home page.,Done
Allow user to select a store for booking ,AP-42,10051,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Manasa Reddy,5f9e4b3f048052006b116530,Manasa Reddy,5f9e4b3f048052006b116530,Manasa Reddy,5f9e4b3f048052006b116530,7/5/2022 9:45,7/11/2022 9:24,7/11/2022 11:08,7/8/2022 5:42,,0,"Steps:

1.Enter the URL: [Wall Painting Design Ideas & Room Paint Designs for Home Painting - Asian Paints|https://www.asianpaints.com/inspiration/ideas/inspiration-gallery.html]

2.Scroll down the page to find a Find a store option

3.Allow user to enter the 6 digit pin correctly

4.Then click on Go

5. User get the results of near by Asian paints store by Store locator 

6.User can select the store for booking successfully ",,Manasa Reddy,5f9e4b3f048052006b116530,,,,,,,,,,AP-115,AP-117,,,0|i00020:g,AP Sprint 1,14,10054,Ideas,Done
Allow User to click Enquire now in Ideas gallery  in ideas ,AP-41,10050,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Manasa Reddy,5f9e4b3f048052006b116530,Manasa Reddy,5f9e4b3f048052006b116530,Manasa Reddy,5f9e4b3f048052006b116530,7/5/2022 9:19,7/11/2022 9:23,7/11/2022 11:08,7/11/2022 6:29,,0,"Steps:

1.Enter the URL: [Wall Painting Design Ideas & Room Paint Designs for Home Painting - Asian Paints|https://www.asianpaints.com/inspiration/ideas/inspiration-gallery.html]

2. Click on enquire now 

3.Allow user to enter Username \[A-Z characters], email, mobile number\[10 digits] and pin\[6 digit] code successfully  

4.Then click on Enquire now 

5. User get the free site evaluation by an Asian paints safe painting service expert successfully.

 ",,Manasa Reddy,5f9e4b3f048052006b116530,,,,,,,,,,AP-121,AP-123,AP-138,,0|i0001z:1i,AP Sprint 1,15,10054,Ideas,Done
Validate information present on the page,AP-40,10049,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,7/5/2022 9:00,7/11/2022 9:23,7/11/2022 9:23,7/8/2022 7:02,,0,"Validate information present on the home page

 check weather the information present on page is correct or not and working fine or not

Acceptance criteria:

# User Should be allowed to click on search bar and can search 
# User Should be allowed to access Design and Color app
# User Should be allowed to access Find a contractor
# User Should be allowed to access Find a store
# User Should be allowed to access contact number
# User Should be allowed to access User Profile
# User Should be allowed to access Wishlist
# User Should be allowed to access cart",,Muskan Mourya,62c26a539763a5e6026ee146,,,,,,,,,,AP-49,AP-50,,,0|i00022:t,AP Sprint 1,15,10052,Home page.,Done
Allow user to get suggestions/Ideas for its painting requirement ,AP-39,10048,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Manasa Reddy,5f9e4b3f048052006b116530,Manasa Reddy,5f9e4b3f048052006b116530,Manasa Reddy,5f9e4b3f048052006b116530,7/5/2022 8:51,7/11/2022 9:23,7/5/2022 9:43,7/8/2022 5:42,,0,"Steps:

1.Enter the URL: [Wall Painting Design Ideas & Room Paint Designs for Home Painting - Asian Paints|https://www.asianpaints.com/inspiration/ideas/inspiration-gallery.html]

2.Allow user to select Color ,Product Type and Room by using drop down.

3.The result should be filtered by the priority   selected by the user.

4.The user is able to see the result successfully.",,Manasa Reddy,5f9e4b3f048052006b116530,,,,,,,,,,AP-111,AP-113,AP-139,,0|i00020:f,AP Sprint 1,12,10054,Ideas,Done
Validate Top menu ,AP-38,10047,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,7/5/2022 8:47,7/11/2022 9:24,7/11/2022 9:23,7/8/2022 7:01,,0,"Validate Top menu

 User should be able to access all the top menu options.

Acceptance criteria:

# User Should be allowed to access paints & texture dropdown
# User Should be allowed to access wallpaper dropdown
# User Should be allowed to access health & hygiene dropdown
# User Should be allowed to access services
# User Should be allowed to access Ideas
# User Should be allowed to access shop

 ",,Muskan Mourya,62c26a539763a5e6026ee146,,,,,,,,,,AP-51,AP-52,,,0|i00022:s,AP Sprint 1,15,10052,Home page.,Done
validate the header ,AP-37,10046,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,7/5/2022 8:40,7/11/2022 9:24,7/11/2022 9:23,7/8/2022 7:01,,0,"Validate the Header 

  User should be able to access top header content properly.

Acceptance criteria:

#  User should be able to Access Asian Paints website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 
# User Should be allowed to access homeowners
# User Should be allowed to access Architecture
# User Should be allowed to access Large Projects
# User Should be allowed to access Kitchen 
# User Should be allowed to access bath
# User Should be allowed to access Automotive
# User Should be allowed to access Industrial
# User Should be allowed to access Penta",,Muskan Mourya,62c26a539763a5e6026ee146,,,,,,,,,,AP-53,AP-126,,,0|i00022:si,AP Sprint 1,15,10052,Home page.,Done
